5000,,,
mfyoctxpgl,26804,1.20001,2208
fvapkvozafxr,9273,1.20002,5374
skyyfddfz,2973,1.20003,9395
gnyqpby,7132,1.20004,6873
tpfnptg,27160,1.20005,9408
vtdeyxj,32210,1.20006,7303
tbysxgqklbf,3635,1.20007,7062
qpxtyxhjvoy,3137,1.20008,2966
tubrgyd,27339,1.20009,5085
fcivocmgifj,21454,1.2001,6761
zrylybcwbmen,7836,1.20011,8698
bmrmbgnhxajt,91,1.20012,2460
inpbsxgc,9611,1.20013,269
thfyk,28735,1.20014,2109
scoys,1662,1.20015,3730
spqie,27260,1.20016,9009
prmgekoob,10252,1.20017,2486
grdcqi,12438,1.20018,5840
dxwyoril,25847,1.20019,2984
ciml,17246,1.2002,829
yuepopzzuvgmep,17038,1.20021,7368
zjlbpbjdpjrahg,11402,1.20022,7425
wdwcdknmbs,26695,1.20023,1684
hxootcesepopmw,25926,1.20024,1283
tiyeobdmlyz,449,1.20025,1778
vtgnuzzmdfiul,10896,1.20026,9355
vhilzrtnlwfm,15935,1.20027,8989
gsexlitr,20273,1.20028,3195
iknilqf,28749,1.20029,7850
nmymromas,15733,1.2003,5098
ieutqgf,21415,1.20031,505
swntomubzvkr,32451,1.20032,5367
srgv,21421,1.20033,8731
jqwryhjk,6255,1.20034,9216
bbmn,31759,1.20035,3370
eevx,20983,1.20036,5370
dnnrstdbrgc,30257,1.20037,7692
rqurstudhhlvgo,19454,1.20038,8828
oxquadsialh,26797,1.20039,354
wkzm,32006,1.2004,5190
synxs,16951,1.20041,4170
kqzf,24049,1.20042,8785
zrkemoewj,21348,1.20043,4208
rezzk,27721,1.20044,30
bcstxi,26190,1.20045,3954
xolur,19855,1.20046,4138
hdrbiwys,26120,1.20047,5620
snec,16696,1.20048,5113
hsibzkganmrpa,7605,1.20049,578
xmkllyucvgiz,25370,1.2005,3890
nmhujrg,28829,1.20051,1527
svhxwtnlybuc,8674,1.20052,699
nlptciisy,18805,1.20053,7114
ltbwmiunkdq,14203,1.20054,4891
eqxnrqyzxapmla,11922,1.20055,1104
ssanmdqz,13525,1.20056,6418
usxtkwonq,10986,1.20057,2480
xzscjmxcnthj,2305,1.20058,2041
kyrxemiigdhw,28315,1.20059,2267
fbfydapwkd,7263,1.2006,1793
lpkuo,29796,1.20061,1085
yxzfupgutsx,11190,1.20062,2182
mzprfggl,11413,1.20063,4841
knivgvfckmneq,4331,1.20064,6711
gyhihzw,3512,1.20065,2355
dogsxfutu,8200,1.20066,1695
lacnnehf,22271,1.20067,6576
qzuppjdraansjk,30763,1.20068,710
zewq,9285,1.20069,7262
jpxs,16677,1.2007,8688
joislj,25426,1.20071,926
iyxp,11240,1.20072,3124
kraibynzx,13097,1.20073,5332
bwfpp,7126,1.20074,2539
zogcv,3649,1.20075,8317
exilhz,29908,1.20076,8466
lbbah,28254,1.20077,2305
hrpffscmax,5739,1.20078,4719
msnnkiqzezdy,19926,1.20079,1709
hoevdzsqhke,26913,1.2008,5564
dhmevqoldswy,32656,1.20081,5221
pxkpiqvlh,8396,1.20082,8816
yyiaoaijr,4650,1.20083,6446
bblceyyu,20898,1.20084,6010
yyenm,31093,1.20085,2264
gswjrf,18740,1.20086,6090
iqgxdspobxahxm,3699,1.20087,809
cyrxrsbapd,23249,1.20088,8097
kwnnujyozmb,18807,1.20089,8898
fzvlhpm,18885,1.2009,7765
dlhdalm,16857,1.20091,1122
jemuqv,30585,1.20092,9567
bqavwvue,20937,1.20093,4255
jmljm,873,1.20094,2296
lrylxvph,13117,1.20095,4129
xcevb,7738,1.20096,3112
rvsxalvu,21912,1.20097,2854
gxjwwq,32299,1.20098,8256
grtonwnrmvloga,4765,1.20099,6996
vwkcsvyqilgeon,11763,1.201,9420
erwpwu,10307,1.20101,3285
rfyhcolqo,5319,1.20102,2308
iuianxn,7514,1.20103,6474
kkggqfuougf,30578,1.20104,3858
epejul,21526,1.20105,9831
vexksy,19525,1.20106,3620
jazuegc,18284,1.20107,5620
ufphh,22009,1.20108,1171
wctw,29027,1.20109,2037
yfvapkv,6768,1.2011,2956
wvyhscs,12490,1.20111,4671
xxwntm,30915,1.20112,7754
nhubucewuixu,6923,1.20113,4736
nhrrdrzukdvgm,14321,1.20114,9976
mhlztgsojwumum,27945,1.20115,5036
efhuiwcjickpiz,25319,1.20116,3199
timdybckrco,15689,1.20117,2462
xsrbugi,18815,1.20118,2107
gwihcxas,3247,1.20119,8811
hetgtwraqwu,15483,1.2012,2956
wzmwbfdshiejex,2290,1.20121,5890
ltazrcn,29937,1.20122,3155
nzbdwmfe,23142,1.20123,534
lnfb,1142,1.20124,36
wuwpcz,22055,1.20125,9019
sxmft,13499,1.20126,2611
lhyyokkp,30703,1.20127,256
upyzmusmuc,12193,1.20128,7638
rjultmqeytrw,20864,1.20129,1310
tttaqxe,19836,1.2013,7636
ahswjwtbgoeyv,5638,1.20131,9579
orulikprxnlj,23501,1.20132,4766
hzsffmwothaqza,19688,1.20133,2465
jtqglipue,19576,1.20134,3883
dmfxakn,20565,1.20135,4753
dlzehsi,8428,1.20136,936
vglptykuinmvbu,15584,1.20137,4638
spvnmmvn,28207,1.20138,4164
xgrecivyfeic,12816,1.20139,1189
ipyyvcjfa,12416,1.2014,1408
uuysvalu,28447,1.20141,4627
tywhrihfs,8590,1.20142,3897
ketpp,28230,1.20143,5859
yoevbnyun,16647,1.20144,3542
tzlnjsaehjew,6204,1.20145,9040
gdnhnhuw,16864,1.20146,2243
vhmbhijxboyj,13834,1.20147,2170
qekdfjhrzujt,20071,1.20148,2448
jpgcc,26902,1.20149,7006
cxxszlnk,7683,1.2015,1650
utwnn,10790,1.20151,8981
kvcmniedqfj,11014,1.20152,6723
bwog,30452,1.20153,574
jrfgvj,2591,1.20154,3907
gzpbhavvgpj,11485,1.20155,5437
hktpkoz,10975,1.20156,7671
mncaemz,8022,1.20157,1600
yejunabqrdiim,31763,1.20158,3380
ycpnyvwqhp,28855,1.20159,6087
cpvtqunwfm,11562,1.2016,4798
uldbpsfu,24749,1.20161,3270
cmnuyxrbxfetdd,5155,1.20162,9461
plhcsrhden,4002,1.20163,6488
xvkguf,22721,1.20164,3970
ghisx,901,1.20165,9088
tdcxpsmrgqxv,26065,1.20166,1839
wech,20442,1.20167,8525
xeemr,15016,1.20168,5358
eqinquiht,14942,1.20169,1606
mzryzihq,13996,1.2017,7111
hempq,907,1.20171,5824
qeca,21313,1.20172,9484
uknnr,13548,1.20173,4015
hjpznpq,31422,1.20174,1963
hgbpc,3105,1.20175,5320
tzighw,15155,1.20176,7241
nwabile,18049,1.20177,2742
zfyhzpizeml,30588,1.20178,1306
ufrzweftndxh,21045,1.20179,8443
yfvasu,2787,1.2018,2619
whbmmxfvynjdx,13165,1.20181,3568
tgrpgqbzbfi,32713,1.20182,7236
ygtrssidycj,4600,1.20183,6955
